id,category,english,gujarati_script,romanized
1,home,Stop being annoying,બસ કરી દે હવે!,bas kari de have!
2,chores,Can you take the trash out?,કચરો બહાર મૂકી દઈશ?,kachro baahar muki daish?
3,casual,Go play your video game,"જા, તારી ગેમ રમે","ja, taari game rame"
4,comfort,It’s okay,ચાલસે,chalse
5,pets,Did you feed Maumau?,માઉમાઉને ખવડાવ્યું?,Maumau-ne khavdaavyu?
6,language,How do you say this in Gujarati?,આને ગુજરાતી માં શુ કહે છે?,aa-ne Gujarati ma shu kahe chhe?
7,conversation,How was work?,કામ કેમ ગયું?,kaam kem gayu?
8,busy,I’m busy right now,હવે બહુ કામ છે,have bahu kaam chhe
9,reaction,What the hell?,શું છે હવે?!,shu chhe have?!
10,fun,That was funny,એ ખુબ જ મજા ની હતી,e khubaj maja ni hati
11,comfort,Don’t worry,ચિંતા ન કર,chinta na kar
12,chores,I cleaned today,આજે ઘરના કામ કરી દીધું,aaje gharna kaam kari didhu
13,food,What can we cook today?,આજે શુ રસોઇયે?,aaje shu rasoiyye?
14,food,Let’s order something,કઈક મંગાવીએ?,kaik mangaviye?
15,hygiene,"Go shower, you stink","જઈ ને શાવર લે, દુગંધ આવે છે!","jai ne shower le, dugandh aave chhe!"
16,casual,Just five minutes,બસ પાંચ મિનિટ,bas paanch minute
17,reminder,I told you already,હું તો કહ્યું હતું,hu to kahyun hatu
18,emotion,You’re being dramatic,બહુ ડ્રામા ન કર,bahu drama na kar
19,conflict,Say sorry,માફી માંગ,maafi maang
