id,category,english,gujarati_script,romanized
1,home,Stop being annoying,બસ કરી દે હવે!,bas kari de have!
2,chores,Can you take the trash out?,કચરો બહાર મૂકી દઈશ?,kachro baahar muki daish?
3,casual,Go play your video game,"જા, તારી ગેમ રમે","ja, taari game rame"
4,comfort,It’s okay,ચાલસે,chalse
5,pets,Did you feed Maumau?,માઉમાઉને ખવડાવ્યું?,Maumau-ne khavdaavyu?
6,language,How do you say this in Gujarati?,આને ગુજરાતી માં શુ કહે છે?,aa-ne Gujarati ma shu kahe chhe?
7,conversation,How was work?,કામ કેમ ગયું?,kaam kem gayu?
8,busy,I’m busy right now,હવે બહુ કામ છે,have bahu kaam chhe
9,reaction,What the hell?,શું છે હવે?!,shu chhe have?!
10,fun,That was funny,એ ખુબ જ મજા ની હતી,e khubaj maja ni hati
11,comfort,Don’t worry,ચિંતા ન કર,chinta na kar
12,chores,I cleaned today,આજે ઘરના કામ કરી દીધું,aaje gharna kaam kari didhu
13,food,What can we cook today?,આજે શુ રસોઇયે?,aaje shu rasoiyye?
14,food,Let’s order something,કઈક મંગાવીએ?,kaik mangaviye?
16,casual,Just five minutes,બસ પાંચ મિનિટ,bas paanch minute
17,reminder,I told you already,હું તો કહ્યું હતું,hu to kahyun hatu
18,emotion,You’re being dramatic,બહુ ડ્રામા ન કર,bahu drama na kar
19,conflict,Say sorry,માફી માંગ,maafi maang
20,daily,Are you hungry?,તને ભૂખ લાગી છે?,tane bhukh laagi chhe?
21,daily,Eat something,કાઈ ખાઈ લે,kaai khai le
22,affection,Come sit with me,આવી ને બેસ મારે સાથે,aavi ne bes maare saathe
23,activity,Let’s go for a walk,થોડી વોક પર જઈએ,thodi walk par jaiye
24,affection,I missed you,હું તને યાદ કરતી હતી,hu tane yaad karti hati
25,care,Are you okay?,તું ઠીક છે?,tu theek chhe?
26,compliment,You look nice today,આજે એકદમ સરસ લાગે છે,aaje ekdam saras laage chhe
27,chores,Stop working now,હવે કામ બંધ કર,have kaam bandh kar
28,hygiene,Go take a shower,જઈ ને શાવર લે,jai ne shower le
29,affection,Come to bed,હવેથી સુવાં આવો,havethi suvaan aavo
30,food,I’ll make tea for you,તારે માટે ચા બનાવું છું,taare maate chaa banavu chhu
31,food,Do you want dinner?,તને ડીનર જોઈએ છે?,tane dinner joiye chhe?
32,reaction,You’re late again!,તું ફરી મોડો થયો!,tu fari modo thayo!
33,care,Be careful / Drive safe,ધ્યાન રાખજે,dhyaan raakhje
34,emotion,I’m tired today,આજે મને થાક છે,aaje mane thaak chhe
35,casual,Let’s watch something,કઈક જોઈ લઈએ,kaik joi laiye
36,affection,I love you,હું તને પ્રેમ કરું છું,hu tane prem karu chhu
