id,english,gujarati_script,romanized,category
1,mother,માતા,mata,Family
2,father,પિતા,pita,Family
3,brother,ભાઈ,bhai,Family
4,sister,બહેન,bahen,Family
5,husband,પતિ,pati,Family
6,wife,પત્ની,patni,Family
7,son,દિકરો,dikaro,Family
8,daughter,દિકરી,dikri,Family
9,child,બાળક,balak,Family
10,grandmother,દાદી,dadi,Family
11,grandfather,દાદા,dada,Family
12,home,ઘર,ghar,Home
13,kitchen,રસોડું,rasodu,Home
14,room,ખંડ,khand,Home
15,bed,પથારી,pathari,Home
16,pillow,ઉશી,ushi,Home
17,blanket,ઘૂઘરી,ghughari,Home
18,light,બત્તી,batti,Home
19,window,ખિડકી,khidki,Home
20,door,બારણું,baranu,Home
21,table,ટેબલ,tebal,Home
22,chair,ખુરશી,khursi,Home
23,water,પાણી,pani,Food
24,tea,ચા,cha,Food
25,milk,દૂધ,dudh,Food
26,bread,રોટલી,rotli,Food
27,rice,ભાત,bhat,Food
28,lentils,દાળ,dal,Food
29,vegetables,શાકભાજી,shakbhaji,Food
30,fruit,ફળ,phal,Food
31,salt,મીઠું,mithu,Food
32,sugar,ખાંડ,khand,Food
33,pickle,અથાણું,athanyu,Food
34,spice,મસાલો,masalo,Food
35,plate,થાળી,thali,Food
36,glass,ગ્લાસ,glas,Food
37,eat,ખાવું,khav,Food
38,drink,પીવું,piv,Food
39,one,એક,ek,Numbers
40,two,બે,be,Numbers
41,three,ત્રણ,tran,Numbers
42,four,ચાર,char,Numbers
43,five,પાંચ,panch,Numbers
44,six,છ,chh,Numbers
45,seven,સાત,sat,Numbers
46,eight,આઠ,ath,Numbers
47,nine,નવ,nav,Numbers
48,ten,દસ,das,Numbers
49,yes,હા,ha,Basic
50,no,ના,na,Basic
51,this,આ,a,Basic
52,that,તે,te,Basic
53,who,કોણ,kon,Basic
54,what,શું,shu,Basic
55,where,ક્યાં,kyam,Basic
56,why,શા માટે,sha mate,Basic
57,how,કેવી રીતે,kem,Basic
58,thing,વસ્તુ,vastu,Basic
59,day,દિવસ,divas,Basic
60,night,રાત,rat,Basic
61,today,આજે,aje,Basic
62,tomorrow,કાલે,kale,Basic
63,mother,માતા,mata,Family
64,father,પિતા,pita,Family
65,brother,ભાઈ,bhai,Family
66,sister,બહેન,bahen,Family
67,husband,પતિ,pati,Family
68,wife,પત્ની,patni,Family
69,son,દિકરો,dikaro,Family
70,daughter,દિકરી,dikri,Family
71,child,બાળક,balak,Family
72,grandmother,દાદી,dadi,Family
73,grandfather,દાદા,dada,Family
74,home,ઘર,ghar,Home
75,kitchen,રસોડું,rasodu,Home
76,room,ખંડ,khand,Home
77,bed,પથારી,pathari,Home
78,pillow,ઉશી,ushi,Home
79,blanket,ઘૂઘરી,ghughari,Home
80,light,બત્તી,batti,Home
81,window,ખિડકી,khidki,Home
82,door,બારણું,baranu,Home
83,table,ટેબલ,tebal,Home
84,chair,ખુરશી,khursi,Home
85,water,પાણી,pani,Food
86,tea,ચા,cha,Food
87,milk,દૂધ,dudh,Food
88,bread,રોટલી,rotli,Food
89,rice,ભાત,bhat,Food
90,lentils,દાળ,dal,Food
91,vegetables,શાકભાજી,shakbhaji,Food
92,fruit,ફળ,phal,Food
93,salt,મીઠું,mithu,Food
94,sugar,ખાંડ,khand,Food
95,pickle,અથાણું,athanyu,Food
96,spice,મસાલો,masalo,Food
97,plate,થાળી,thali,Food
98,glass,ગ્લાસ,glas,Food
99,eat,ખાવું,khav,Food
100,drink,પીવું,piv,Food
101,one,એક,ek,Numbers
102,two,બે,be,Numbers
103,three,ત્રણ,tran,Numbers
104,four,ચાર,char,Numbers
105,five,પાંચ,panch,Numbers
106,six,છ,chh,Numbers
107,seven,સાત,sat,Numbers
108,eight,આઠ,ath,Numbers
109,nine,નવ,nav,Numbers
110,ten,દસ,das,Numbers
111,yes,હા,ha,Basic
112,no,ના,na,Basic
113,this,આ,a,Basic
114,that,તે,te,Basic
115,who,કોણ,kon,Basic
116,what,શું,shu,Basic
117,where,ક્યાં,kyam,Basic
118,why,શા માટે,sha mate,Basic
119,how,કેવી રીતે,kem,Basic
120,thing,વસ્તુ,vastu,Basic
121,day,દિવસ,divas,Basic
122,night,રાત,rat,Basic
123,today,આજે,aje,Basic
124,tomorrow,કાલે,kale,Basic
125,mother,માતા,mata,Family
126,father,પિતા,pita,Family
127,brother,ભાઈ,bhai,Family
128,sister,બહેન,bahen,Family
129,husband,પતિ,pati,Family
130,wife,પત્ની,patni,Family
131,son,દિકરો,dikaro,Family
132,daughter,દિકરી,dikri,Family
133,child,બાળક,balak,Family
134,grandmother,દાદી,dadi,Family
135,grandfather,દાદા,dada,Family
136,home,ઘર,ghar,Home
137,kitchen,રસોડું,rasodu,Home
138,room,ખંડ,khand,Home
139,bed,પથારી,pathari,Home
140,pillow,ઉશી,ushi,Home
141,blanket,ઘૂઘરી,ghughari,Home
142,light,બત્તી,batti,Home
143,window,ખિડકી,khidki,Home
144,door,બારણું,baranu,Home
145,table,ટેબલ,tebal,Home
146,chair,ખુરશી,khursi,Home
147,water,પાણી,pani,Food
148,tea,ચા,cha,Food
149,milk,દૂધ,dudh,Food
150,bread,રોટલી,rotli,Food
151,rice,ભાત,bhat,Food
152,lentils,દાળ,dal,Food
153,vegetables,શાકભાજી,shakbhaji,Food
154,fruit,ફળ,phal,Food
155,salt,મીઠું,mithu,Food
156,sugar,ખાંડ,khand,Food
157,pickle,અથાણું,athanyu,Food
158,spice,મસાલો,masalo,Food
159,plate,થાળી,thali,Food
160,glass,ગ્લાસ,glas,Food
161,eat,ખાવું,khav,Food
162,drink,પીવું,piv,Food
163,one,એક,ek,Numbers
164,two,બે,be,Numbers
165,three,ત્રણ,tran,Numbers
166,four,ચાર,char,Numbers
167,five,પાંચ,panch,Numbers
168,six,છ,chh,Numbers
169,seven,સાત,sat,Numbers
170,eight,આઠ,ath,Numbers
171,nine,નવ,nav,Numbers
172,ten,દસ,das,Numbers
173,yes,હા,ha,Basic
174,no,ના,na,Basic
175,this,આ,a,Basic
176,that,તે,te,Basic
177,who,કોણ,kon,Basic
178,what,શું,shu,Basic
179,where,ક્યાં,kyam,Basic
180,why,શા માટે,sha mate,Basic
181,how,કેવી રીતે,kem,Basic
182,thing,વસ્તુ,vastu,Basic
183,day,દિવસ,divas,Basic
184,night,રાત,rat,Basic
185,today,આજે,aje,Basic
186,tomorrow,કાલે,kale,Basic
187,mother,માતા,mata,Family
188,father,પિતા,pita,Family
189,brother,ભાઈ,bhai,Family
190,sister,બહેન,bahen,Family
191,husband,પતિ,pati,Family
192,wife,પત્ની,patni,Family
193,son,દિકરો,dikaro,Family
194,daughter,દિકરી,dikri,Family
195,child,બાળક,balak,Family
196,grandmother,દાદી,dadi,Family
197,grandfather,દાદા,dada,Family
198,home,ઘર,ghar,Home
199,kitchen,રસોડું,rasodu,Home
200,room,ખંડ,khand,Home
